// Mapping between op code symbols and machine code values

BRK     00
LDA     A9 AD BD A5
STA     8D 85
JMP     4C
INX     E8
LDX     A2 A6 AE
LDY     A0 A4 AC
TAX     AA
TXA     8A
PHA     48
PLA     68
JSR     20
RTS     60
ASL     0A
NOP     EA
SEC     38
CLC     18
CLV     B8
BPL     10
BMI     30
BVC     50
BVS     70
BCC     90
BCS     B0
BNE     D0
BEQ     F0
TXS     9A
PLP     28
DEX     CA
CMP     C9 C5 CD
CPX     E0 E4 EC
STX     86 8E
STY     84 8C
CPY     C0 C4 CC
TAY     A8
TYA     98
TSX     BA
DEY     88
INY     C8
ADC     65
